,user_id,id,uri,title,price,content,imgs,refresh,category,beds,livings,wc,area,type,street_width,age,last_update,street_direction,ketchen,ac,furnished,location,path,user,native,rent_period,city,district,width,length,advertiser_type,create_time,__typename
0,786077,3666191,حي-شارع-وادي-ماوان-حي-الدار-البيضاء-الرياض-الرياض-3666191,شقة للبيع في حي ، شارع وادي ماوان ، حي الدار البيضاء ، الرياض ، الرياض,272000,"للبيع شقة سكنية في الدار البيضاء 
الدور الثاني 

كل الخدمات قريبة من الشقة 

المبلغ المطلوب:130الف ريال صافي + البنك 
مبلغ فك الرهن 141.416ريال 

او قبول البنك بمبلغ: 157.140ريال 
القسط الشهري: 800ريال 



السعر قابل للتفاوض


للتواصل مع المالك:
ابوناصر : 0530034158





معلن عقاري معتمد من الهيئة العامة للعقار
رقم :0490206


الرجاء التواصل على الواتساب لأي إستفسار لقلة تواجدي في الموقع على الرقم 


0553238334","['553238334_1635749456230.png', '553238334_1635749456233.png']",1659453440,6,4,1,2,129,,30.0,13.0,1659453440,1,1.0,,0.0,"{'lat': 24.560622, 'lng': 46.796867, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-شارع-وادي-ماوان-حي-الدار-البيضاء-الرياض-الرياض-3666191,"{'review': 5, 'img': '553238334_1640004949844.jpg', 'name': 'بيع وشراء وتأجير العقارات ', 'phone': 0, 'iam_verified': True, 'rega_id': '0490206', '__typename': 'ListingUser'}",,,الرياض,حي الدار البيضاء,,,exclusive_marketer,1635715268,ElasticWebListing
1,142392,4068722,الرياض-حي-بدر-الرياض-4068722,شقة للبيع في الرياض ، حي بدر ، الرياض,300000,"شقق للبيع مساحة 104
القيمة 300 الف
بحي الشفا جنوب الرياض

المتبقي شقة بالدور الارضي","['001423922_1645634111119.jpg', '001423920_1645634093999.jpg', '001423925_1645634093981.jpg', '001423923_1645634094000.jpg', '001423923_1645634093976.jpg', '001423920_1645634093983.jpg', '001423924_1645634093986.jpg', '001423929_1645634093979.jpg', '001423922_1645634093982.jpg', '001423923_1645634111087.jpg', '001423927_1645634111157.jpg', '001423920_1645634111115.jpg', '001423920_1645634111117.jpg']",1660076948,6,3,1,2,104,,30.0,5.0,1660076962,4,1.0,,0.0,"{'lat': 24.56039, 'lng': 46.710308, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/الرياض-حي-بدر-الرياض-4068722,"{'review': 5, 'img': '565572321_1647195277718.jpg', 'name': 'سطام بن مسفر', 'phone': 0, 'iam_verified': True, 'rega_id': '0144119', '__typename': 'ListingUser'}",,,الرياض,حي بدر,50.0,2.0,agent,1645634225,ElasticWebListing
2,1524930,4214989,شارع-الصائن-حي-العزيزية-الرياض-الرياض-4214989,شقة للبيع في شارع الصائن ، حي العزيزية ، الرياض ، الرياض,357500,شقه العزيزيه بالرياض العمر 8 سنوات المساحه 131 بالدور الارضي مكونه من 3 غرف وصاله ومطبخ 2 دورة مياه للتنازل قسط 407 مده 54 شهر بعدين يصير قصدها 2990 بدون مقابل متبقي 224 شهر او البيع كاش مرهونه للبنك بمبلغ357 الف,"['015249302_1649335718903.jpg', '015249301_1649335728986.jpg']",1660309035,6,3,1,2,131,,30.0,8.0,1660309035,1,1.0,,0.0,"{'lat': 24.584812, 'lng': 46.776971, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-العزيزية/شارع-الصائن-حي-العزيزية-الرياض-الرياض-4214989,"{'review': 5, 'img': None, 'name': None, 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي العزيزية,,,owner,1649326940,ElasticWebListing
3,2042665,4179425,حي-الصوارى-جدة-جدة-4179425,شقة للبيع في حي الصوارى ، جدة ، جدة,850000,"شق ق فاخرة للتمليك ابحر الشمالية 
حي الصواري

المساحة 232م :

6 غرف صاله كبيرة
5 دوارت مياه
مطبخ و مطبخ داخلي 
غرفة غسيل
غرفة خادمة 
غرفة سائق

المميزات /
موقف سيارة
خزان مستقل سفلي و علوي
سمارت هوم
كاميرات مراقبة

للاستفسار التواصل على الرقم

0533111176 / 0538444450","['020426654_1648375852358.jpg', '020426658_1648375852335.jpg', '020426654_1648375852336.jpg', '020426654_1648375852360.jpg', '020426654_1648375852345.jpg', '020426658_1648375852365.jpg', '020426659_1648375852351.jpg', '020426650_1648375912414.jpg', '020426658_1648375996221.jpg', '020426654_1648375996249.jpg', '020426657_1648375996231.jpg', '020426651_1648375996233.jpg']",0,6,6,1,5,232,,20.0,0.0,1660244991,1,1.0,,0.0,"{'lat': 21.787928, 'lng': 39.101654, '__typename': 'Location'}",/شقق-للبيع/جدة/شمال-جدة/حي-الصوارى/حي-الصوارى-جدة-جدة-4179425,"{'review': 5, 'img': '560929997_1649339217532.jpg', 'name': 'شركة اتحاد الماسة', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}","{'logo': '001580685_1655234375387.jpg', 'title': 'شقق للبيع، أبحر الشمالية في تمليك الماسة', 'image': None, 'description': 'تملك منزل احلامك بأبحر الشمالية في تمليك الماسة, أناقة التصميم ورقي المكان', 'external_url': None, '__typename': 'WebNativeListing'}",,جدة,حي الصوارى,20.0,11.0,owner,1648376729,ElasticWebListing
4,375841,3333431,حي-الدار-البيضاء-الرياض-الرياض-3333431,شقة للبيع في حي الدار البيضاء ، الرياض ، الرياض,400000,"شقق فاخره 
بناء شخصي 🏠

بمساحات مختلفه 
لاسعار مختلفه من 400 الى 540 الف 


استقلاليه تامه 

( كل شقه بخزان ارضي وعلوي مستقل كذالك كل شقه بعداد كهرباء وعداد ماء مستقل ). 

جميع الضمانات متوفره كذالك شهادة اشراف ومتابعة من مكتب هندسي. 


0533464146",['533464146_1637697347897.jpg'],1655044787,6,5,1,4,239,,25.0,0.0,1655044787,3,1.0,,0.0,"{'lat': 24.556818, 'lng': 46.775127, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-الدار-البيضاء-الرياض-الرياض-3333431,"{'review': 4.17, 'img': '533464146_1562361033731.jpg', 'name': 'مؤسسة اضوا ء التعمير للمقاولات', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي الدار البيضاء,,,exclusive_marketer,1624804395,ElasticWebListing
5,550254,1130793,شارع-العباس-الغنوي-الاسكان-الرياض-1130793,"شقة للبيع في شارع العباس الغنوي, الاسكان, الرياض",400000,"اسكان طريق الخرج
مطلةمن جميع الجهات
مؤثث
5مكيفات
مطبخ راكب 
2غرف باركية
3غرف ورق جدران

المطبخ شفاط مركزي
الكهرباءمحول 220
مسددكامل صندوق التنميةالعقاري 
المدارس على نفس الشارع البنات ابتدائي متوسط ثانوي 
الاولادقريبة جداًمن 100الى حد500متر
المسجدقريب جداً
محرره النقل مباشرة
الصيانة مسددخمس سنوات قادمة
عدد2ستلايات موصل لجميع الغرف

الاضاءه لدجميع الغرف

متوفرعدد2مصاعدصيانة24ساعة
درج طورى
درج رئيسى","['555281990_1535488621323.jpg', '555281990_1535488621326.jpg', '555281990_1535488621327.jpg', '555281990_1551571165733.jpg', '555281990_1551571165735.jpg', '555281990_1551571165737.jpg', '555281990_1551571165738.jpg']",1659802841,6,5,2,3,230,0.0,35.0,29.0,1659802841,5,1.0,0.0,0.0,"{'lat': 24.57633399963379, 'lng': 46.841434478759766, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-الاسكان/شارع-العباس-الغنوي-الاسكان-الرياض-1130793,"{'review': 5, 'img': None, 'name': '0555281990', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,0.0,الرياض,حي الاسكان,,,,1535489148,ElasticWebListing
6,514400,3983909,حي-الدار-البيضاء-الرياض-الرياض-3983909,شقة للبيع في حي الدار البيضاء ، الرياض ، الرياض,330000,دور علوي ملحق يوجد بها مطبخ راكب,"['005144006_1643575941429.jpg', '005144008_1643575941419.jpg', '005144006_1643575941475.jpg', '005144009_1643575941450.jpg', '005144007_1643575942040.jpg', '005144009_1643575941596.jpg', '005144004_1643575941606.jpg', '005144006_1643575941623.jpg', '005144004_1643575941658.jpg', '005144009_1643575941764.jpg', '005144001_1643575941753.jpg', '005144006_1643575941777.jpg', '005144000_1643575941811.jpg', '005144004_1643575941978.jpg', '005144004_1643575941989.jpg', '005144005_1643575942037.jpg', '005144000_1643575942068.jpg', '005144009_1643575942151.jpg']",1660309035,6,4,1,2,126,,25.0,11.0,1660309035,1,1.0,,0.0,"{'lat': 24.553862, 'lng': 46.780675, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-الدار-البيضاء-الرياض-الرياض-3983909,"{'review': None, 'img': '503405354_1535625364558.jpg', 'name': ' ابراهيم  شق11', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي الدار البيضاء,,,owner,1643576566,ElasticWebListing
7,182291,3137916,شارع-وادي-المياه-حي-بدر-الرياض-الرياض-3137916,شقة للبيع في شارع وادي المياه ، حي بدر ، الرياض ، الرياض,550000,"شقتين للبيع بصك واحد مساحتها 220 المجموع تتكون كل شقه من غرفتين صاله مجلس مطبخ دورتين مياه متجاورات في حي بدر يسمونه التلال العمر العقار متوسط وحده مساحتها 105 ووحده مساحتها 115 المجموع 220 
السوم 500 الف ريال 
البيع 550 الف ريال",['552288243_1618772389973.jpg'],1659197348,6,2,1,1,105,,5.0,,1659197348,2,1.0,,0.0,"{'lat': 24.544312, 'lng': 46.721241, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-المياه-حي-بدر-الرياض-الرياض-3137916,"{'review': 4.58, 'img': '552288243_1466656425005.jpg', 'name': 'المتمكنه للعقارات', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي بدر,,,normal_marketer,1618772637,ElasticWebListing
8,221136,3727682,شارع-قسمة-حي-بدر-الرياض-الرياض-3727682,شقة للبيع في شارع قسمة ، حي بدر ، الرياض ، الرياض,300000,"شقة في الشفاء حي بدر على شارع قسمة  30م  (( للبيع )) ، 
الدور الثاني : يوجد مصعد  
مجلس 
صالة 
2 دورة مياه 
2 غرف نوم 
 
المساحة 110 متر 
واجهة الشقة على الشارع 
والشقه على زاويه 
السوم وصل 300 الف","['564244410_1637412967249.jpg', '564244410_1637412967247.jpg', '564244410_1637412967248.jpg', '564244410_1637412967250.jpg', '564244410_1637412967252.jpg', '564244410_1637412967253.jpg', '564244410_1637412967254.jpg', '564244410_1637412967255.jpg', '564244410_1637413044552.jpg']",1658538117,6,3,1,2,110,,30.0,10.0,1658538117,1,1.0,,0.0,"{'lat': 24.531321, 'lng': 46.687092, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-قسمة-حي-بدر-الرياض-الرياض-3727682,"{'review': 4, 'img': '564244410_1637493371337.jpg', 'name': 'بدر', 'phone': 0, 'iam_verified': True, 'rega_id': '0564244410', '__typename': 'ListingUser'}",,,الرياض,حي بدر,,,agent,1637413286,ElasticWebListing
9,2566457,4425190,حي-شارع-عريقة-حي-الدار-البيضاء-الرياض-الرياض-4425190,شقة للبيع في حي ، شارع عريقة ، حي الدار البيضاء ، الرياض ، الرياض,400000,"دور اول 
العمارة فقط دورين 
يوجد اصنصير
العمارة باقي على البنك الاهلي ومطلوب للسداد المبكر 311 الف واناابي فيها 400 الف وللصامل ماراح اختلف معه
واي تفاصيل عندي مقطع فديو التواصل على الرقم للجادين الله يوفقكم والصامل يكلمني 
0559911853 
الشقة تتكون من غرفتين نوم ومجلس ومقلط وصالة ومطبخ ودورتين مياه الله يكرمكم طبعآ اول دور",['025664579_1655230785554.jpg'],1658909114,6,4,1,2,134,,5.0,10.0,1658909128,1,0.0,,0.0,"{'lat': 24.571268, 'lng': 46.78883, '__typename': 'Location'}",/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-شارع-عريقة-حي-الدار-البيضاء-الرياض-الرياض-4425190,"{'review': None, 'img': None, 'name': 'سالم', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",,,الرياض,حي الدار البيضاء,5.0,26.0,owner,1655231188,ElasticWebListing
