user_id,id,uri,title,price,content,imgs,beds,livings,wc,area,street_width,age,last_update,street_direction,ketchen,ac,furnished,location,path,user,district,width,length,advertiser_type,create_time,time_on_market
1122505,4452340,شارع-الامير-محمد-بن-فيصل-بن-تركي-حي-القدس-الرياض-الرياض-4452340,شقة للبيع في شارع الامير محمد بن فيصل بن تركي ، حي القدس ، الرياض ، الرياض,999000,"السلام عليكم ورحمة الله وبركاته ،،

شركة العمر للاستثمار ترحب بكم 
وتتمنى لكم دوام الصحة والعافية...



🔸 شقة C08 🔸

🔸 مشروع الخيالة 7 🔸

مواصفات الشقة :
3 غرف نوم 🛌 
صالة 📺
مجلس 🛋 
غرفة ملابس 👔
3 دورة مياه 🛁
مطبخ 🍽
غرفة خادمة 👩‍🍼
موقف قبو 🚗

المميزات العامة للمشروع : 
كاميرا مراقبة 
بلكونات 
أسطح خاصة 
أحواش خاصة 
دخول ذكي 
ممرات مكيفه 
ممرات رخام
إضاءة LED
كراسي معلقة
مواقف قبو
موقف خاص لكل شقة + اقفال خاصة بالمواقف الخارجية 

🔴 البيع بدون سعي 🔴


مستشاري المبيعات :-
0531477755 عبدالعزيز 

0535577773 زياد 

0550531877 سلطان

0550562773 مساعد 

920009024 الرقم الموحد

❇️ المالك والمطور ❇️
شركة العمر للاستثمار","['011225057_1655835506852.jpg', '011225057_1655835506725.jpg', '011225059_1655835506729.jpg', '011225058_1655835506866.jpg', '011225053_1655835506830.jpg', '011225051_1655835506730.jpg', '011225051_1655835506728.jpg', '011225051_1655835691227.jpg', '011225058_1655835691254.jpg', '011225051_1655835691239.jpg']",4,1.0,4,140,36.0,0.0,2022-08-12 06:39:31,2,1.0,,0.0,"{'lat': 24.755426, 'lng': 46.759823, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-الامير-محمد-بن-فيصل-بن-تركي-حي-القدس-الرياض-الرياض-4452340,"{'review': 4.49, 'img': '531477755_1656496849435.jpg', 'name': 'شركة العمر للأستثمار شركة شخص واحد', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",حي القدس,50.0,2.0,owner,2022-06-21 21:33:21,51 days 09:06:10
874832,4557489,شارع-ابن-مقله-حي-قرطبة-الرياض-الرياض-4557489,شقة للبيع في شارع ابن مقله ، حي قرطبة ، الرياض ، الرياض,950000,"مشروع الريم ٢ شقق تمليك 
متوفر ١١ شقة 
المساحات تبدأ من 127م إلى 220م 
الأسعار تبدأ من ٩٥٠,٠٠٠ إلى ١,٣٥٠,٠٠٠","['016171686_1658769874955.jpg', '016171689_1658769874939.jpg', '016171688_1658769874947.jpg', '016171682_1658769874946.jpg', '016171688_1658769874894.jpg', '016171682_1658769874937.jpg', '016171681_1658769874949.jpg', '016171682_1658769874935.jpg']",4,1.0,3,220,30.0,0.0,2022-08-10 01:12:24,8,0.0,,0.0,"{'lat': 24.808447, 'lng': 46.751186, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-ابن-مقله-حي-قرطبة-الرياض-الرياض-4557489,"{'review': 4.57, 'img': '501177288_1603565131939.jpg', 'name': 'شركة راكز العقارية (شركة شخص واحد)', 'phone': 0, 'iam_verified': True, 'rega_id': '5223806', '__typename': 'ListingUser'}",حي قرطبة,8.0,27.0,exclusive_marketer,2022-07-25 21:00:05,15 days 04:12:19
689404,4575279,شارع-ابي-جعفر-المنصور-حي-اليرموك-الرياض-الرياض-4575279,شقة للبيع في شارع ابي جعفر المنصور ، حي اليرموك ، الرياض ، الرياض,960000,"شقق فاخره VIP تميز فالفخامه وجودة البناء والموقع المميز والاستراتيجي وقريب من جميع الخدمات في اليرموك  قريبه من طريق الصحابه 
المساحة : 188 متر
المواصفات : موقف خاص والدخول ذكي عن طريق البصمه ( تصميم الشقه عصري وحديث ) تميز التصميم بالمساحات المفتوحه قابلة للتجزئه بحيث ان المجلس مفتوح على الصالات ، يوجد مطبخ واسع ، ايضاً غرف النوم واسعة ، اتساع الشبابيك ، والشراحيه .
عدد الغرف : غرفتين نوم عاديه وغرفه نوم ماستر ، غرفة خادمة بدورة المياه .
السعر : 960 الف 
تنويه : يوجد مساحات مختلفه واسعار مختلفه كذلك .
للتواصل0591147983","['004303967_1659208987097.jpg', '004303967_1659208987482.jpg', '004303965_1659208987113.jpg', '004303965_1659208987249.jpg', '004303964_1659208987353.jpg', '004303960_1659208987370.jpg', '004303966_1659208987648.jpg', '004303960_1659208986975.jpg', '004303962_1659208987113.jpg', '004303969_1659208987269.jpg', '004303967_1659208987477.jpg', '004303964_1659208987516.jpg', '004303964_1659208986965.jpg', '004303966_1659208986949.jpg', '004303969_1659208987082.jpg', '004303963_1659208987476.jpg', '004303965_1659208987529.jpg', '004303968_1659208987242.jpg', '004303965_1659208986950.jpg', '004303962_1659208987374.jpg', '004303968_1659208987231.jpg', '004303969_1659208987229.jpg', '004303962_1659208987122.jpg']",5,3.0,3,188,44.0,0.0,2022-08-08 13:15:54,2,1.0,,0.0,"{'lat': 24.807294, 'lng': 46.778483, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-ابي-جعفر-المنصور-حي-اليرموك-الرياض-الرياض-4575279,"{'review': 3.56, 'img': '569280458_1639898779794.jpg', 'name': 'البسيوني للعقار ( عبده) ', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",حي اليرموك,13.0,14.0,exclusive_marketer,2022-07-30 22:28:45,8 days 14:47:09
1900580,3483081,شارع-ابراهيم-بن-نعيم-حي-طويق-الرياض-الرياض-3483081,شقة للبيع في شارع ابراهيم بن نعيم ، حي طويق ، الرياض ، الرياض,575000,"شركة السليمان العقارية تفخر بتقديم سلسلة مميزة من مشاريع (سكينة ريزيدنس) في حي الغروب (طويق) غرب مدينة الرياض.
روعي في المشروع التخطيط الجيد والاستفادة القصوى من المساحات التي توفر الراحة وسهولة العيش وتلبي كافة احتياجات الأسرة وخصوصيتها.

للحجز وللاستفسار: 0556666755

لزيارة الموقع الالكتروني وتحميل بروشور الفيلا:
https://alsoliman.com.sa/sakenah-residence/

 رقم التفويض: 422864375","['019005805_1640261717866.jpg', '019005802_1640261717861.jpg', '019005808_1640261717861.jpg', '019005805_1640261717865.jpg', '019005809_1640261717863.jpg', '019005809_1640261717864.jpg', '019005803_1640261717862.jpg']",3,3.0,4,170,30.0,0.0,2022-08-11 21:58:57,3,0.0,,0.0,"{'lat': 24.544945, 'lng': 46.521763, '__typename': 'Location'}",/شقق-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-ابراهيم-بن-نعيم-حي-طويق-الرياض-الرياض-3483081,"{'review': 4.31, 'img': '556666755_1629697449069.jpg', 'name': 'شركة السليمان العقارية', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",حي طويق,,,,2021-08-23 13:32:31,353 days 08:26:26
2205992,4514095,شارع-الخريص-حي-قرطبة-الرياض-الرياض-4514095,شقة للبيع في شارع الخريص ، حي قرطبة ، الرياض ، الرياض,950000,"شقة فاخرة للبـــــــــــــــــــــــــــــــــيع في حي قرطبة 
المســـــــــــــــــــــــــاحة 170م
الدور الاول العلوي 
  تتكون من 
3 غرف (منهم غرفة ماستر) 
صالة 
مطبخ
ثلاث دورات مياه 
بلكونة مطله خارجية
إنارة موفرة للطاقة
دخول ذكي 

الضمانات على هيكل الانشائي
10 سنوات 
السباكة والكهرباء 
العزل الحراري 
مستثمرة ب 53 الف سنوي 
  لا يوجد شهادة اتمام بناء 
البيع
950
ـــــــــــــــــــــــــــــــــــــــــــــــــــــــ

شركة موارد البناء العقارية 
خدماتنا : تسويق _ تسجيل العقود الإلكترونية_ إدارة أملاك _ تطوير عقاري _ يسعدنا ان  نستقبل جميع طلباتكم.","['020788560_1657724543408.jpg', '020788565_1657724543883.jpg', '020788563_1657724544854.jpg', '020788567_1657724544252.jpg', '020788565_1657724544666.jpg', '020788565_1657724543590.jpg', '020788566_1657724544044.jpg', '020788561_1657724544276.jpg']",3,1.0,3,170,30.0,1.0,2022-08-10 17:50:36,2,0.0,,0.0,"{'lat': 24.832022, 'lng': 46.74003, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-الخريص-حي-قرطبة-الرياض-الرياض-4514095,"{'review': 4.53, 'img': None, 'name': 'مكتب عقار ', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",حي قرطبة,15.0,11.0,exclusive_marketer,2022-07-13 18:09:24,27 days 23:41:12
689404,4479440,طريق-الأمير-محمد-بن-سلمان-بن-عبدالعزيز-حي-قرطبة-الرياض-الرياض-4479440,شقة للبيع في طريق الأمير محمد بن سلمان بن عبدالعزيز ، حي قرطبة ، الرياض ، الرياض,1220000,"قدم شركه اختصار العقاريه بطرح مشروع عماره شقق سكنيه تصميم مودرن مع استخدام احدث التصميمات ف الوجهات واحدث مواد التشطيبات 
***كما تراعي الشركه في تصاميمها استغلال كافه المساحات واختيارها لافضل المناطق السكنيه علي الاطلاق بحيث تكون العماره داخل الحيز العمراني وبالقرب من كافه الخدمات والمرافق سواء تعليميه او ترفيهيه او طرق رائسيه-
***وايضا نقدم لحضراتكم احدث التصميمات والوجهات نقدم ايضا افضل مواد البناء وتشمل ايضا ضمانات طويله المدي تصل ال 25 سنه ع كافه المواد المستخدمه ف التاسيس والتشطيب
الضمانات تشمل الاتي:-
1- ضمان الهيكل الانشائي 10 سنوات
2- العزل المائي 10 سنوات
3- السباكه شركه الانابيب الخضراء 15 سنه
4-الكهرباء شركه الفنار 25 سنه
5- المصاعد 5 سنوات مكينه ايطالي
6- خزانات 3 سنوات
***مميزات المشروع:-
احواش خاصه لبعض الشقق
اسطح خاصه لبعض الشقق
مداخل خاصه لبعض الشقق
قفل باب ذكي
مواقف خاصه
وجهات مودرن
مصاعد
*** مكونات الشقق
***كما يمكنك تملك منزلك عن طريق الاقساط واستخدام دعم الصندوق العقاري 
***كما نقدم لحضراتكم تخليص جميع الخدمات ف جميع انحاء المملكة","['004303969_1656488041816.jpg', '004303962_1656488041888.jpg', '004303965_1656488041787.jpg', '004303969_1656488041957.jpg', '004303967_1656488041942.jpg', '004303967_1656488041951.jpg', '004303967_1656488041977.jpg', '004303964_1656488042051.jpg', '004303965_1656488042101.jpg', '004303961_1656488042094.jpg', '004303962_1656488042127.jpg', '004303961_1656488042120.jpg', '004303966_1656488042263.jpg', '004303966_1656488042228.jpg', '004303966_1656488042250.jpg', '004303964_1656488042261.jpg', '004303967_1656488042284.jpg', '004303961_1656488042563.jpg', '004303966_1656488042559.jpg', '004303960_1656488042459.jpg', '004303963_1656488042395.jpg', '004303962_1656488042396.jpg', '004303962_1656488042412.jpg', '004303964_1656488042432.jpg', '004303968_1656488042554.jpg', '004303967_1656488042569.jpg', '004303967_1656488042609.jpg']",3,3.0,3,262,45.0,0.0,2022-08-08 13:13:28,8,1.0,,0.0,"{'lat': 24.819288, 'lng': 46.738864, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/طريق-الأمير-محمد-بن-سلمان-بن-عبدالعزيز-حي-قرطبة-الرياض-الرياض-4479440,"{'review': 3.56, 'img': '569280458_1639898779794.jpg', 'name': 'البسيوني للعقار ( عبده) ', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",حي قرطبة,15.0,17.0,exclusive_marketer,2022-06-29 10:37:04,40 days 02:36:24
1885246,4564004,محطة-كهرباء-حي-قرطبة-شارع-جبل-القمر-حي-قرطبة-الرياض-الرياض-4564004,شقة للبيع في محطة كهرباء حي قرطبة ، شارع جبل القمر ، حي قرطبة ، الرياض ، الرياض,1200000,"لراغبي السكن الراقي والمتميز
شقق سكنيه بحي قرطبه
*موقع استراتيجي بحي قرطبه بالقرب من محطه المترو جامعه الاميره نوره جامعه الامام المطار واجهه الرياض الدائري)(الثمامه)(طريق الامير محمد بن سلمان)(قريبه لمسجد-مدارس)
*مكونات الشقه
مدخل-مجلس رجال-دوره مياه-صاله طعام-صاله-مطبخ مستودع شغاله 3 غرفه نوم-2دوره مياه(سطح خاص)
تشطيبات متميزه جدا تصميم مودرن وعصري
ضمانات شامله كهرباء وسباكه وعوازل
ضمان علي الهيكل الانشائي لمده10 سنوات
خدماتنا
نوفر لك الدفعه الاولي
انهاءجميع الخدمات البنكيه بجميع انحاء المملكه","['018852466_1658929941885.jpg', '018852469_1658929941871.jpg', '018852469_1658929941874.jpg', '018852465_1658929941876.jpg', '018852468_1658929941843.jpg', '018852467_1658929941911.jpg', '018852468_1658929941983.jpg', '018852463_1658929941932.jpg', '018852462_1658929950317.jpg', '018852465_1658929950891.jpg', '018852466_1658929950328.jpg', '018852466_1658929950327.jpg']",3,3.0,4,210,35.0,,2022-08-11 09:39:01,8,1.0,,0.0,"{'lat': 24.825375, 'lng': 46.737755, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/محطة-كهرباء-حي-قرطبة-شارع-جبل-القمر-حي-قرطبة-الرياض-الرياض-4564004,"{'review': 4, 'img': '508270481_1641719547875.jpg', 'name': 'اختصار البناء العقاريه(Ahmed)', 'phone': 0, 'iam_verified': True, 'rega_id': '0508270481', '__typename': 'ListingUser'}",حي قرطبة,12.0,17.0,normal_marketer,2022-07-27 16:54:30,14 days 16:44:31
974332,4167056,طريق-الدمام-الفرعي-حي-اليرموك-الرياض-الرياض-4167056,شقة للبيع في طريق الدمام الفرعي ، حي اليرموك ، الرياض ، الرياض,925000,"شقق تمليك بحي اليرموق الغربي قريب طريق الصحابه 
تتكون من 
٣ غرفه نوم ** منهم غرفه ماستر**  مجلس كبير ** مقلط  ** صاله**  مطبخ أمريكي  حوش جاني وخلفي 
يوجد مساحات واسعار  مختلفه شقق أرضه وعلوي وسطح
يوجد جميع الضمانات سباكه كهرباء خزانات عوازل  مصعد 
لدينا تسهيل اجراءات البنك تسديد مديونيه توفير الدفعه 
للتواصل 
0506497163","['009743322_1654716201759.jpg', '009743326_1654716201754.jpg', '009743328_1654716201776.jpg', '009743329_1654716201765.jpg', '009743327_1654716201777.jpg', '009743324_1654716201918.jpg', '009743322_1654716201930.jpg', '009743329_1654716201924.jpg', '009743329_1654716201930.jpg', '009743320_1654716201988.jpg', '009743323_1654716202116.jpg', '009743327_1654716202085.jpg', '009743321_1654716202079.jpg', '009743324_1654716202094.jpg', '009743323_1654716202170.jpg']",5,1.0,3,160,30.0,0.0,2022-08-10 21:42:00,1,1.0,,0.0,"{'lat': 24.817739, 'lng': 46.783693, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/طريق-الدمام-الفرعي-حي-اليرموك-الرياض-الرياض-4167056,"{'review': 4.55, 'img': '559752881_1579459526901.jpg', 'name': 'Abu Retal', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",حي اليرموك,,,owner,2022-03-23 17:24:50,140 days 04:17:10
583830,4459145,شارع-ابيان-حي-الفيحاء-الرياض-الرياض-4459145,شقة للبيع في شارع ابيان ، حي الفيحاء ، الرياض ، الرياض,800000,"دبلكس 540 م البيع للكاش فقط لايقبل الدعم السكني 
حي الفيحاء شرق الرياض
ست وحدات كل وحدة بصك مستقل تبقي منهم الادوار الموجوده بالدور الاول فقط مساحه كل واحد منهم 180 تقريبا العدد2
 وصف الدور :
مجلس ومقلط ودورة مياه
مطبخ وصالة
ثلاث غرف نوم ودورتي مياه
السعر  800 ألف ريال

عرض الشارع 15 والشارع واسع جدا امامه مرفق حكومي 
للتواصل/0556409159
0506121816",['556409159_1655990635655.jpg'],3,3.0,3,540,15.0,0.0,2022-08-04 17:11:46,2,1.0,,0.0,"{'lat': 24.688692, 'lng': 46.818718, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-الفيحاء/شارع-ابيان-حي-الفيحاء-الرياض-الرياض-4459145,"{'review': 4.05, 'img': '1616165176711.jpg', 'name': 'خصوصية الإدارة للعقارات', 'phone': 0, 'iam_verified': True, 'rega_id': '0556409159', '__typename': 'ListingUser'}",حي الفيحاء,,,normal_marketer,2022-06-23 16:27:29,42 days 00:44:17
36575,4419599,شارع-المحيط-حي-النظيم-الرياض-الرياض-4419599,شقة للبيع في شارع المحيط ، حي النظيم ، الرياض ، الرياض,420000,"ثلاث شقق للبيع تمليك في مخطط اللؤلؤه حي الندوه (جديده) *شقة رقم ١ وشقة رقم ٢ في الدور الارضي(أرضيات)* 
——-
*شقة رقم ثنين* سعرها فقط  420 ألف ريال (*أربعمائة وعشرون الف ريال فقط لاغير*) ومساحتها ١١١متر 
——
*شقة رقم واحد* سعرها فقط لاغير ب ٤٢٥ ألف ريال ومساحتها ١٠٤متر.
مواصفاتهم جميعاً: غرفتين نوم مجلس وصاله دورتين مياه+مطبخ+كذلك في شقق الدور الأرضي واحد واثنين فيهم كلهم حوش خلفي للأرضيات.
——-
*شقة رقم ٧* في الدور الثاني السطح نفس المواصفات *وسعرها فقط ٣٧٠ الف ريال فقط لاغير*. وعندها سطح يمكن فتح باب عليه.(مقيمه سابقاً من البنك ب ٤٨٤ الف)
——
قريبه جداً ومميزه ومتوفره فيها جميع الخدمات وسعرها منافس ومناسب جداً جداً.

*📌✔️ موقع مميز*
```وواجهة العماره غربيه…```

📌📌👇🏿 الموقع ( اللوكيشن ) 
https://maps.google.com/?q=24.800552,46.883671


*الشقة رقم 7.2.1 فاضيه مافيها سكان جديدة

       🎈جاهز للإفراغ للصامل ومتوفره جميع الشهادات المطلوبه للمبايعه من شهادة اتمام بناء وشهادة اشغال واطلاق التيار","['555522951_1655125762701.png', '555522951_1655125774504.png', '555522951_1655125793169.png', '555522951_1655125793173.png', '555522951_1655125793176.png']",3,1.0,2,111,30.0,0.0,2022-08-10 16:51:36,3,1.0,,0.0,"{'lat': 24.807219, 'lng': 46.880556, '__typename': 'Location'}",/شقق-للبيع/الرياض/شرق-الرياض/حي-النظيم/شارع-المحيط-حي-النظيم-الرياض-الرياض-4419599,"{'review': 4.38, 'img': '555522951_1640029063219.jpg', 'name': 'ابو طارق', 'phone': 0, 'iam_verified': True, 'rega_id': None, '__typename': 'ListingUser'}",حي النظيم,10.0,22.0,agent,2022-06-13 16:16:44,58 days 00:34:52
